#Position (bp)	mapping quality
5.89680592E8	59.67329106225693
5.97927873E8	59.982049826200395
6.06175154E8	58.80233546299709
6.14422435E8	59.930343999163014
6.22669716E8	59.43270250526974
6.30916997E8	59.995667253969835
6.39164278E8	59.83891221382147
6.47411559E8	58.17474075657031
6.5565884E8	59.982277430550305
6.63906121E8	59.82742618355603
6.72153402E8	59.717013972347054
6.80400683E8	58.869909567344166
6.87513812E8	56.60304913585741
6.90580999E8	0.0
6.91715151E8	58.96113335656584
6.96895245E8	35.01804824404625
7.05142526E8	58.56959442697812
7.13389807E8	58.5877683393492
7.21637088E8	59.979414445457174
7.29884369E8	59.80988690052805
7.3813165E8	59.96825681208602
7.46378931E8	59.98716203251711
7.54626212E8	59.98995911021297
7.62873493E8	56.725498280785594
7.71120774E8	59.964016100252344
7.79368055E8	59.824063003773475
7.87615336E8	59.95863407813718
7.95862617E8	59.78512452265155
8.04109898E8	59.996390915956326
8.12357179E8	59.91263374666438
8.2060446E8	59.99313795617783
8.28851741E8	59.93174796708134
8.37099022E8	59.94452891462809
8.45346303E8	50.955831263066194
8.53593584E8	58.91289396226046
8.61840865E8	59.98152264694946
8.70088146E8	59.531739228669046
8.775425195E8	57.97704725683768
8.80978107E8	0.0
8.817710145E8	54.985636785569454
8.86582708E8	58.09070830027335
8.94829989E8	39.70736091011174
9.0307727E8	48.65849018267792
9.11324551E8	57.03876939800372
9.19571832E8	59.99604361082703
9.27819113E8	59.94219361660316
9.36066394E8	59.98974019301956
9.44313675E8	59.98597801602222
9.52560956E8	53.413938023753545
9.60808237E8	59.96881591654031
9.69055518E8	59.998277419998246
9.77302799E8	59.982729657907896
9.8555008E8	59.971009535451635
9.93797361E8	59.98127499448331
1.002044642E9	59.98886470092522
1.010291923E9	59.99244729080039
1.018539204E9	46.401389947367285
1.026786485E9	59.9969596942321
1.035033766E9	59.989744088284965
1.043281047E9	59.952524127881624
1.051528328E9	59.970176779314905
1.0591365945E9	55.670066837151005
1.062667565E9	0.0
1.0633065795E9	59.77531951843845
1.06802289E9	57.95523202378642
1.076270171E9	56.85541569020423
1.084517452E9	59.98232108291633
1.092764733E9	31.110497286296766
1.101012014E9	59.98292809159383
1.109259295E9	59.96671818462898
1.117506576E9	59.93917866033204
1.125753857E9	53.3317441731854
1.134001138E9	59.61610859966722
1.142248419E9	56.410055948047834
1.1504957E9	55.454028845650484
1.158742981E9	59.982083191321394
1.166990262E9	59.755639872387896
1.175237543E9	59.5602729817134
1.183484824E9	59.736136818846326
1.191732105E9	55.378597774635764
1.199979386E9	59.304414628896104
1.208226667E9	59.995139036219015
1.216473948E9	59.75579781731965
1.224721229E9	56.205349077423264
1.231182379E9	51.28927084955552
1.2353060195E9	59.23554300590459
1.241215791E9	58.233970882186334
1.249463072E9	59.84305756324008
1.257710353E9	59.90371779633589
1.265957634E9	59.72437312479433
1.274204915E9	59.399350065315176
1.282452196E9	58.54719144901222
1.290699477E9	58.10599002601501
1.298946758E9	59.07969299295842
1.307194039E9	49.59118586331701
1.31544132E9	59.98476148773833
1.323688601E9	59.95636940587294
1.331935882E9	51.81406429900477
1.340183163E9	46.796994218425084
1.348430444E9	59.98561167745678
1.356677725E9	59.967191859133656
1.364925006E9	59.734881002570965
1.373172287E9	39.48167285441193
1.381419568E9	54.853777577897624
1.389204535E9	59.192673165327925
1.3933281755E9	55.954681146967374
1.39791413E9	15.055076327871008
1.406161411E9	23.737631280292437
1.414408692E9	59.96826177580406
1.422655973E9	59.984220046915844
1.430903254E9	58.353719573350446
1.439150535E9	59.96434751956584
1.447397816E9	59.96271385138439
1.455645097E9	59.99151079467862
1.463892378E9	59.874145442772175
1.472139659E9	59.986002489460354
1.48038694E9	59.983698353648315
1.488634221E9	59.99704162814162
1.496881502E9	59.86165658525207
1.505128783E9	59.99135901568811
1.513376064E9	56.587307487357
1.521623345E9	58.680428557155444
1.529870626E9	59.98202909937351
1.535999382E9	45.03063772163138
1.5401230225E9	55.951826556070955
1.546365188E9	59.7143875318734
1.554612469E9	59.83497370316217
1.56285975E9	58.408066953066104
1.571107031E9	59.41593387743781
1.579354312E9	42.50197275401449
1.587601593E9	0.0
1.595848874E9	3.4728709571540386
1.604096155E9	30.890663198502597
1.612343436E9	59.851854543604574
1.620590717E9	50.27822401021359
1.628837998E9	52.03188171461479
1.637085279E9	58.091122113599916
1.64533256E9	59.65824536469493
1.653579841E9	59.75434392439736
1.661827122E9	59.88319571549395
1.670074403E9	57.644793693500645
1.675298629E9	59.93487993657814
1.6764192455E9	0.0
1.6764583035E9	0.0
1.676565753E9	0.0
1.6766737005E9	0.0
1.679569275E9	58.86841142552893
1.686568965E9	59.98657769510917
1.694816246E9	59.97035955908546
1.703063527E9	57.99219002013178
1.711310808E9	58.94828533045097
1.719558089E9	46.615835922563626
1.72780537E9	55.76595754107439
1.736052651E9	59.96719816829164
1.744299932E9	59.90611557214213
1.752547213E9	53.52824161953898
1.760794494E9	52.035329840803
1.769041775E9	59.98170368406887
1.777289056E9	59.97251523569528
1.785536337E9	59.969034068069604
1.793783618E9	58.445895024103365
1.802030899E9	59.122585963469994
1.8083225935E9	58.011231873228134
1.812446234E9	42.38048987341181
1.818525461E9	58.04150462255106
1.826772742E9	58.24771169202953
1.835020023E9	59.88521153825812
1.843267304E9	59.97256549770508
1.851514585E9	59.982666904222555
1.859761866E9	55.45508101145685
1.868009147E9	56.33300813700848
1.876256428E9	59.94001985127254
1.884503709E9	58.92009219426928
1.89275099E9	59.99046604471711
1.900998271E9	52.54121465117547
1.909245552E9	59.652853804789615
1.917492833E9	59.392189521666396
1.925740114E9	56.81144675344349
1.933987395E9	59.50337839048389
1.9418441525E9	59.967000395546535
1.9456274275E9	0.4620123203285421
1.946017951E9	52.223827036798085
1.950481957E9	55.75714212550272
1.958729238E9	49.456505368225834
1.966976519E9	59.948508315994154
1.9752238E9	59.24758877820643
1.983471081E9	58.341486961223495
1.991718362E9	59.79091209843851
1.999965643E9	58.53707013180805
2.008212924E9	59.87741872077596
2.016460205E9	59.97547610692924
2.024707486E9	59.97811527609835
2.032954767E9	59.99304252438706
2.041202048E9	59.92201178457037
2.049449329E9	59.49887372259327
2.05769661E9	59.97077746169844
2.065943891E9	57.62476841608656
2.074191172E9	51.98310250797186
2.0786338535E9	59.96078119054572
2.082757494E9	0.0
2.090685734E9	0.0
2.098933015E9	59.46889683380242
2.107180296E9	59.51311142505784
2.115427577E9	59.98863039416189
2.123674858E9	59.80169830730985
2.131922139E9	59.714272293723994
2.14016942E9	43.91966158345519
2.148416701E9	59.991955887122934
2.156663982E9	59.733903287076004
2.164911263E9	59.92865354302713
