#Insert size (bp)	insert size
587.0	3104.0
588.0	3082.0
589.0	2910.0
590.0	2998.0
591.0	2843.0
592.0	2814.0
593.0	2840.0
594.0	2802.0
595.0	2740.0
596.0	2700.0
597.0	2803.0
598.0	2650.0
599.0	2542.0
600.0	2636.0
601.0	2589.0
602.0	2523.0
603.0	2522.0
604.0	2473.0
605.0	2519.0
606.0	2525.0
607.0	2476.0
608.0	2337.0
609.0	2437.0
610.0	2303.0
611.0	2250.0
612.0	2378.0
613.0	2134.0
614.0	2241.0
615.0	2059.0
616.0	1987.0
617.0	2119.0
618.0	2007.0
619.0	1886.0
620.0	1992.0
621.0	1972.0
622.0	1845.0
623.0	1962.0
624.0	1908.0
625.0	1806.0
626.0	1833.0
627.0	1758.0
628.0	1852.0
629.0	1813.0
630.0	1679.0
631.0	1716.0
632.0	1667.0
633.0	1553.0
634.0	1671.0
635.0	1635.0
636.0	1542.0
637.0	1536.0
638.0	1526.0
639.0	1440.0
640.0	1564.0
641.0	1371.0
642.0	1459.0
643.0	1360.0
644.0	1322.0
645.0	1388.0
646.0	1391.0
647.0	1352.0
648.0	1312.0
649.0	1242.0
650.0	1295.0
651.0	1244.0
652.0	1215.0
653.0	1171.0
654.0	1183.0
655.0	1207.0
656.0	1174.0
657.0	1163.0
658.0	1155.0
659.0	1060.0
660.0	1086.0
661.0	1052.0
662.0	1059.0
663.0	1037.0
664.0	1035.0
665.0	992.0
666.0	952.0
667.0	943.0
668.0	958.0
669.0	889.0
670.0	1036.0
671.0	892.0
672.0	893.0
673.0	910.0
674.0	804.0
675.0	826.0
676.0	808.0
677.0	781.0
678.0	812.0
679.0	794.0
680.0	774.0
681.0	723.0
682.0	806.0
683.0	749.0
684.0	777.0
685.0	759.0
686.0	717.0
687.0	681.0
688.0	681.0
689.0	634.0
690.0	655.0
691.0	610.0
692.0	673.0
693.0	634.0
694.0	621.0
695.0	604.0
696.0	563.0
697.0	560.0
698.0	547.0
699.0	563.0
700.0	552.0
701.0	539.0
702.0	522.0
703.0	548.0
704.0	537.0
705.0	511.0
706.0	510.0
707.0	441.0
708.0	455.0
709.0	471.0
710.0	437.0
711.0	463.0
712.0	441.0
713.0	433.0
714.0	413.0
715.0	432.0
716.0	401.0
717.0	411.0
718.0	390.0
719.0	366.0
720.0	410.0
721.0	360.0
722.0	390.0
723.0	376.0
724.0	350.0
725.0	325.0
726.0	367.0
727.0	338.0
728.0	320.0
729.0	321.0
730.0	321.0
731.0	318.0
732.0	328.0
733.0	265.0
734.0	292.0
735.0	303.0
736.0	295.0
737.0	281.0
738.0	245.0
739.0	298.0
740.0	256.0
741.0	267.0
742.0	269.0
743.0	258.0
744.0	231.0
745.0	238.0
746.0	215.0
747.0	243.0
748.0	227.0
749.0	238.0
750.0	214.0
751.0	194.0
752.0	197.0
753.0	223.0
754.0	215.0
755.0	200.0
756.0	210.0
757.0	178.0
758.0	223.0
759.0	206.0
760.0	195.0
761.0	182.0
762.0	178.0
763.0	212.0
764.0	176.0
765.0	169.0
766.0	161.0
767.0	171.0
768.0	170.0
769.0	161.0
770.0	145.0
771.0	134.0
772.0	149.0
773.0	117.0
774.0	122.0
775.0	126.0
776.0	151.0
777.0	116.0
778.0	101.0
779.0	119.0
780.0	111.0
781.0	94.0
782.0	100.0
783.0	125.0
784.0	112.0
785.0	97.0
786.0	129.0
787.0	105.0
788.0	123.0
789.0	103.0
790.0	100.0
791.0	110.0
792.0	98.0
793.0	104.0
794.0	95.0
795.0	85.0
796.0	77.0
797.0	88.0
798.0	79.0
799.0	69.0
800.0	77.0
801.0	78.0
802.0	72.0
803.0	90.0
804.0	83.0
805.0	69.0
806.0	62.0
807.0	70.0
808.0	83.0
809.0	81.0
810.0	65.0
811.0	57.0
812.0	63.0
813.0	52.0
814.0	44.0
815.0	70.0
816.0	56.0
817.0	67.0
818.0	56.0
819.0	58.0
820.0	49.0
821.0	65.0
822.0	48.0
823.0	39.0
824.0	49.0
825.0	35.0
826.0	42.0
