#Position (bp)	insert size
1.241215791E9	410.02584269662924
1.249463072E9	384.7760267430755
1.257710353E9	396.52555723143956
1.265957634E9	392.83616872523885
1.274204915E9	413.43847629487533
1.282452196E9	407.09779951100245
1.290699477E9	389.66901905434014
1.298946758E9	413.75873015873015
1.307194039E9	413.3360492845787
1.31544132E9	403.02016271666076
1.323688601E9	405.9383716296985
1.331935882E9	417.948987854251
1.340183163E9	393.6283422459893
1.348430444E9	396.90119498688426
1.356677725E9	404.65881147540983
1.364925006E9	415.37808469584644
1.373172287E9	405.6077447833066
1.381419568E9	428.0083322812776
1.389204535E9	401.2631122670134
1.3933281755E9	412.0026455026455
1.39791413E9	409.43053524422345
1.406161411E9	406.9150056412185
1.414408692E9	410.7130783858018
1.422655973E9	404.3882154365506
1.430903254E9	407.22026718800913
1.439150535E9	388.97492767598845
1.447397816E9	407.7513007284079
1.455645097E9	402.941006362059
1.463892378E9	387.0350294042444
1.472139659E9	418.0233091325946
1.48038694E9	379.6096510124946
1.488634221E9	400.522554395896
1.496881502E9	396.5242718446602
1.505128783E9	391.72278382581646
1.513376064E9	392.77172958735736
1.521623345E9	393.0594214229867
1.529870626E9	388.370796460177
1.535999382E9	437.14220930232557
1.5401230225E9	404.805316091954
1.546365188E9	401.2674949290061
1.554612469E9	388.9617914979757
1.56285975E9	404.72861736334403
1.571107031E9	428.56142009348247
1.579354312E9	417.28988235294116
1.587601593E9	0.0
1.595848874E9	437.6939393939394
1.604096155E9	414.88216560509557
1.612343436E9	392.76484716157205
1.620590717E9	404.6397894153505
1.628837998E9	418.0546250966246
1.637085279E9	397.8243357829282
1.64533256E9	403.4931951747603
1.653579841E9	409.5372518690384
1.661827122E9	408.2118565466069
1.670074403E9	413.2922784751494
1.675298629E9	432.31802249542244
1.6764192455E9	0.0
1.6764583035E9	0.0
1.676565753E9	0.0
1.6766737005E9	0.0
1.679569275E9	405.83832494036574
1.686568965E9	384.1847302504817
1.694816246E9	390.2779107725789
1.703063527E9	402.6672546504169
1.711310808E9	407.0919540229885
1.719558089E9	416.38465371200795
1.72780537E9	408.9007871676816
1.736052651E9	414.58827586206894
1.744299932E9	403.0804432292416
1.752547213E9	416.0055386319579
1.760794494E9	409.7833684210526
1.769041775E9	396.31765430830853
1.777289056E9	418.1158781074579
1.785536337E9	394.14023372287147
1.793783618E9	393.84956175298805
1.802030899E9	408.8254139184278
1.8083225935E9	415.01574939425404
1.812446234E9	431.90610984914673
1.818525461E9	426.2531770990393
1.826772742E9	402.06665090995034
1.835020023E9	383.8710875331565
1.843267304E9	404.8596098496962
1.851514585E9	398.26550522648085
1.859761866E9	423.0418192658206
1.868009147E9	422.38724746000236
1.876256428E9	429.91145515417196
1.884503709E9	413.53634732687476
1.89275099E9	413.2382566585956
1.900998271E9	406.3982061262481
1.909245552E9	409.3792820512821
1.917492833E9	391.8525629414961
1.925740114E9	418.41430646332606
1.933987395E9	411.23234706843346
1.9418441525E9	415.4343493552169
1.9456274275E9	432.7692307692308
1.946017951E9	401.0940860215054
1.950481957E9	419.08118121993033
1.958729238E9	401.64626344867696
1.966976519E9	380.296691277003
1.9752238E9	395.6025550035486
1.983471081E9	408.1919136480059
1.991718362E9	426.0338418564676
1.999965643E9	425.8475050186407
2.008212924E9	389.99600798403196
2.016460205E9	395.2977613562269
2.024707486E9	393.1025765678172
2.032954767E9	398.27804054054053
2.041202048E9	390.5980310012568
2.049449329E9	386.6602439700582
2.05769661E9	397.594800575832
2.065943891E9	403.96635550369507
2.074191172E9	412.6277707409753
2.0786338535E9	420.1932524415508
2.082757494E9	0.0
2.090685734E9	0.0
2.098933015E9	408.7267066933511
2.107180296E9	402.7733861974972
2.115427577E9	402.6896551724138
2.123674858E9	398.4906330749354
2.131922139E9	404.59958463136036
2.14016942E9	414.9170854271357
2.148416701E9	403.43091334894615
2.156663982E9	397.4127026308796
2.164911263E9	438.3634204275534
2.173158544E9	380.93135135135134
2.181405825E9	412.9145482388974
2.189423344E9	401.6281101895735
2.1935469845E9	0.0
2.197900387E9	0.0
2.206147668E9	0.0
2.214394949E9	429.6434188034188
2.22264223E9	405.2701165766278
2.230889511E9	405.86867088607596
2.239136792E9	412.2590147282885
2.247384073E9	391.70287727539636
2.255631354E9	404.0092814683492
2.263878635E9	409.4591506054921
2.272125916E9	409.2123165546564
2.280373197E9	402.823550337958
2.288620478E9	403.2098282842384
2.2965525295E9	420.30656631196473
2.300461795E9	0.0
2.300668236E9	433.5
2.3008708475E9	0.0
2.300979636E9	0.0
2.3010753705E9	0.0
2.301178399E9	426.0
2.301217234E9	0.0
2.3013234165E9	0.0
2.301431691E9	418.0
2.3053461205E9	0.0
2.313362321E9	0.0
2.321609602E9	411.549793753683
2.329856883E9	415.830464267084
2.338104164E9	417.9010934883263
2.346351445E9	423.73882676233734
2.354598726E9	393.59004170352586
2.362846007E9	400.41692695214107
2.371093288E9	407.17685305591675
2.379340569E9	422.3687988719395
2.38758785E9	420.36598065955866
2.395835131E9	417.44122108456577
2.4017017605E9	400.84916522740355
2.4036688735E9	394.2
2.406049525E9	433.0580966999232
2.412329693E9	407.6904116051421
2.420576974E9	399.1021990414435
2.428824255E9	415.9025110782866
2.437071536E9	427.88380191964666
2.445318817E9	0.0
2.453566098E9	403.61475667189956
2.461813379E9	411.10381919265166
2.47006066E9	428.2309068391358
2.478307941E9	414.8250919493257
