#Position (bp)	insert size
8.817710145E8	399.6184863523573
8.86582708E8	389.884031122638
8.94829989E8	390.7446409012674
9.0307727E8	376.3407407407407
9.11324551E8	385.35820895522386
9.19571832E8	379.1911092646448
9.27819113E8	386.9345142243693
9.36066394E8	381.1668266922708
9.44313675E8	384.45046634736576
9.52560956E8	391.6667251359411
9.60808237E8	390.5514774082417
9.69055518E8	374.5016548463357
9.77302799E8	374.97066961815165
9.8555008E8	369.86245059288535
9.93797361E8	385.34137769447045
1.002044642E9	389.0091123860952
1.010291923E9	384.81560838285895
1.018539204E9	413.3468504249742
1.026786485E9	392.61424064894095
1.035033766E9	394.97233278322494
1.043281047E9	385.1962375507193
1.051528328E9	381.83692781690144
1.0591365945E9	410.973326747345
1.062667565E9	0.0
1.0633065795E9	373.0253456221198
1.06802289E9	398.9225736095965
1.076270171E9	395.6614881439084
1.084517452E9	380.3790776152981
1.092764733E9	413.19297534616686
1.101012014E9	395.17595560071913
1.109259295E9	405.51310344827584
1.117506576E9	391.3386271870794
1.125753857E9	395.76826608505996
1.134001138E9	387.6893857173866
1.142248419E9	380.95360678925033
1.1504957E9	386.6825581395349
1.158742981E9	383.87799918666127
1.166990262E9	388.1767001114827
1.175237543E9	392.88098263447694
1.183484824E9	374.56835177983845
1.191732105E9	384.2787437899219
1.199979386E9	385.9418223848969
1.208226667E9	388.002599814299
1.216473948E9	386.6955248849854
1.224721229E9	381.6224362404138
1.231182379E9	381.25050916496946
1.2353060195E9	403.272467663363
1.241215791E9	394.54579083062436
1.249463072E9	370.694347826087
1.257710353E9	383.9659546061415
1.265957634E9	380.2728112728113
1.274204915E9	401.20278384279476
1.282452196E9	395.341103471407
1.290699477E9	376.58053461274847
1.298946758E9	400.6502713704206
1.307194039E9	397.8733003708282
1.31544132E9	391.8342877594846
1.323688601E9	390.3524919614148
1.331935882E9	404.9552133687614
1.340183163E9	379.29912782774596
1.348430444E9	382.12613669697856
1.356677725E9	387.44240625842997
1.364925006E9	398.43215152986886
1.373172287E9	393.2208358693447
1.381419568E9	413.71537909591007
1.389204535E9	388.28919491525426
1.3933281755E9	384.595
1.39791413E9	392.17461863031485
1.406161411E9	393.34125874125874
1.414408692E9	397.00010388531064
1.422655973E9	389.32396797990896
1.430903254E9	395.1973574176284
1.439150535E9	375.3343858541206
1.447397816E9	388.94267374944667
1.455645097E9	392.52650669642856
1.463892378E9	374.3495891863239
1.472139659E9	399.4295638749518
1.48038694E9	368.4183501683502
1.488634221E9	381.651701407447
1.496881502E9	381.5045971978984
1.505128783E9	377.5902834008097
1.513376064E9	373.75044682752457
1.521623345E9	375.70603773584907
1.529870626E9	369.91288191577206
1.535999382E9	424.64252457320225
1.5401230225E9	390.2924037460978
1.546365188E9	382.73032188260754
1.554612469E9	376.4613810741688
1.56285975E9	386.57053600789214
1.571107031E9	413.1869204489995
1.579354312E9	402.9283136877556
1.587601593E9	0.0
1.595848874E9	420.21044045676996
1.604096155E9	400.08313885647607
1.612343436E9	378.3607966457023
1.620590717E9	388.87087434858137
1.628837998E9	401.4072270630446
1.637085279E9	388.0708362614195
1.64533256E9	389.03000319182894
1.653579841E9	395.57881103484004
1.661827122E9	395.2723474696516
1.670074403E9	399.343458051452
1.675298629E9	420.3563660960508
1.6764192455E9	0.0
1.6764583035E9	0.0
1.676565753E9	0.0
1.6766737005E9	0.0
1.679569275E9	393.74116657319126
1.686568965E9	373.87991213082745
1.694816246E9	372.279632721202
1.703063527E9	390.0120879120879
1.711310808E9	388.14134007585335
1.719558089E9	398.3199510403917
1.72780537E9	394.9200514874142
1.736052651E9	395.8532504780115
1.744299932E9	385.02550799827065
1.752547213E9	402.0537804198402
1.760794494E9	396.5358153712171
1.769041775E9	383.107605344296
1.777289056E9	403.05317496115873
1.785536337E9	377.37987012987014
1.793783618E9	377.3147040302267
1.802030899E9	392.3496596823702
1.8083225935E9	400.50216090425533
1.812446234E9	418.0109377698463
1.818525461E9	410.86918057197914
1.826772742E9	388.3361196138451
1.835020023E9	374.9897859922179
1.843267304E9	388.17812151172063
1.851514585E9	393.60070175438597
1.859761866E9	408.79608788853164
1.868009147E9	406.6909928476179
1.876256428E9	415.8788057993132
1.884503709E9	398.7350630630631
