#Position (bp)	mapping quality
7.95862617E8	59.83357940841585
8.04109898E8	59.97902472189674
8.12357179E8	59.8636899389706
8.2060446E8	59.99787048886614
8.28851741E8	59.948745114532244
8.37099022E8	59.939707758245774
8.45346303E8	51.877514657110765
8.53593584E8	59.004777300364076
8.61840865E8	59.9907297895693
8.70088146E8	59.59648180714995
8.775425195E8	58.665763967468926
8.80978107E8	0.0
8.817710145E8	55.21995801724863
8.86582708E8	57.20408573942215
8.94829989E8	39.90360025932688
9.0307727E8	48.968049988210325
9.11324551E8	57.15312010642258
9.19571832E8	59.99528617208229
9.27819113E8	59.93333369025758
9.36066394E8	59.973163659052176
9.44313675E8	59.989963242852916
9.52560956E8	53.54578110438024
9.60808237E8	59.9787339884743
9.69055518E8	59.998025285745854
9.77302799E8	59.98083310141786
9.8555008E8	59.972294640792214
9.93797361E8	59.97928136042642
1.002044642E9	59.99427129785432
1.010291923E9	59.989685568695954
1.018539204E9	46.283111201317006
1.026786485E9	59.99495088260006
1.035033766E9	59.98242801316861
1.043281047E9	59.971498413306136
1.051528328E9	59.976811702224055
1.0591365945E9	55.25402903173737
1.062667565E9	0.0
1.0633065795E9	59.96423496155412
1.06802289E9	58.36288123985176
1.076270171E9	56.99735774262919
1.084517452E9	59.976951169394006
1.092764733E9	32.70691098292048
1.101012014E9	59.987525949756545
1.109259295E9	59.968997668561464
1.117506576E9	59.86852836476963
1.125753857E9	54.30084006573013
1.134001138E9	59.65549554759126
1.142248419E9	56.046990179500156
1.1504957E9	55.3586496633097
1.158742981E9	59.99568288801023
1.166990262E9	59.859237097704124
1.175237543E9	59.5736089876751
1.183484824E9	59.740196020089975
1.191732105E9	54.989447759824806
1.199979386E9	59.527549190879
1.208226667E9	59.995575624324466
1.216473948E9	59.78025377789329
1.224721229E9	56.60387501161344
1.231182379E9	51.712702443341094
1.2353060195E9	59.447852805247
1.241215791E9	58.01499457935457
1.249463072E9	59.85635034722925
1.257710353E9	59.888613262175106
1.265957634E9	59.75323124042879
1.274204915E9	59.48525359730585
1.282452196E9	58.512495713019504
1.290699477E9	58.20400817865389
1.298946758E9	59.06032466646905
1.307194039E9	50.55090125611418
1.31544132E9	59.99195202739937
1.323688601E9	59.93242802399659
1.331935882E9	52.24740178062623
1.340183163E9	47.51781550323272
1.348430444E9	59.98774923050491
1.356677725E9	59.98018079203361
1.364925006E9	59.77538686083389
1.373172287E9	40.55735345621021
1.381419568E9	53.88686200085301
1.389204535E9	59.00619956555835
1.3933281755E9	53.79906202798895
1.39791413E9	17.762200760964465
1.406161411E9	23.68734508854649
1.414408692E9	59.97132902328796
1.422655973E9	59.98388363818096
1.430903254E9	57.97393398553336
1.439150535E9	59.977407562147484
1.447397816E9	59.98308118614722
1.455645097E9	59.990193381296564
1.463892378E9	59.928133056512515
1.472139659E9	59.98238282498758
1.48038694E9	59.990411143260886
1.488634221E9	59.990277888578646
1.496881502E9	59.90953137387661
1.505128783E9	59.99462937874976
1.513376064E9	56.77979281905081
1.521623345E9	58.6663094872352
1.529870626E9	59.988772096158534
1.535999382E9	46.04802557588695
1.5401230225E9	56.55046139987721
1.546365188E9	59.65973001157503
1.554612469E9	59.799348762784895
1.56285975E9	58.531434004528
1.571107031E9	59.49409574601897
1.579354312E9	42.32711102112137
1.587601593E9	0.0
1.595848874E9	2.5979240481603463
1.604096155E9	31.315053204589926
1.612343436E9	59.88936891626324
1.620590717E9	53.073191442001125
1.628837998E9	52.80209511082607
1.637085279E9	58.244046779280005
1.64533256E9	59.68063859893186
1.653579841E9	59.80969523282948
1.661827122E9	59.893815137916334
1.670074403E9	57.58279225057473
1.675298629E9	59.94527816208301
1.6764192455E9	0.0
1.6764583035E9	0.0
1.676565753E9	0.0
1.6766737005E9	0.0
1.679569275E9	59.03598244667993
1.686568965E9	59.98483295009779
1.694816246E9	59.98119873624952
1.703063527E9	57.95904979639835
1.711310808E9	58.12312926369229
1.719558089E9	46.412350256864656
1.72780537E9	54.69724327358186
1.736052651E9	59.97734994337486
1.744299932E9	59.93672013748546
1.752547213E9	53.41171400328272
1.760794494E9	52.198838634955614
1.769041775E9	59.97982951048622
1.777289056E9	59.972565274832135
1.785536337E9	59.97215261123133
1.793783618E9	58.25183348175183
1.802030899E9	58.88639246496702
1.8083225935E9	58.24084108771998
1.812446234E9	42.435557716064864
1.818525461E9	58.248171947899664
1.826772742E9	58.260103523208976
1.835020023E9	59.90638749246091
1.843267304E9	59.964594030311176
1.851514585E9	59.98473339464875
1.859761866E9	55.54820709875225
1.868009147E9	56.7641481165328
1.876256428E9	59.94926787135189
1.884503709E9	58.889934799351344
1.89275099E9	59.995192893277355
1.900998271E9	51.98593840539882
